字符,种别码,类型
signed,1,关键词
fclose,2,关键词
enum,3,关键词
switch,4,关键词
register,5,关键词
volatile,6,关键词
extern,7,关键词
fgetc,8,关键词
define,9,关键词
struct,10,关键词
puts,11,关键词
putchar,12,关键词
break,13,关键词
short,14,关键词
double,15,关键词
goto,16,关键词
sizeof,17,关键词
fputc,18,关键词
while,19,关键词
for,20,关键词
gets,21,关键词
void,22,关键词
union,23,关键词
float,24,关键词
auto,25,关键词
printf,26,关键词
do,28,关键词
include,29,关键词
int,30,关键词
case,31,关键词
else,32,关键词
default,33,关键词
const,34,关键词
fgets,35,关键词
fopen,36,关键词
long,37,关键词
static,38,关键词
unsigned,39,关键词
getchar,40,关键词
typedef,41,关键词
if,42,关键词
stdio.h,43,关键词
return,44,关键词
char,45,关键词
continue,46,关键词
number,47,特殊符
identifier,48,特殊符
string,49,特殊符
single_zhushi,50,特殊符
double_zhushi,51,特殊符
char,52,特殊符
error,53,特殊符
float,54,特殊符
<=,55,运算与逻辑符
~,56,运算与逻辑符
++,57,运算与逻辑符
<<,58,运算与逻辑符
#,59,运算与逻辑符
&&,60,运算与逻辑符
%,61,运算与逻辑符
+,62,运算与逻辑符
||,63,运算与逻辑符
+=,64,运算与逻辑符
|,65,运算与逻辑符
>,66,运算与逻辑符
==,67,运算与逻辑符
*,68,运算与逻辑符
-,69,运算与逻辑符
!=,70,运算与逻辑符
!,71,运算与逻辑符
--,72,运算与逻辑符
=,73,运算与逻辑符
<,74,运算与逻辑符
>=,75,运算与逻辑符
/,76,运算与逻辑符
&,77,运算与逻辑符
.,78,运算与逻辑符
-=,79,运算与逻辑符
>>,80,运算与逻辑符
>>=,101,运算与逻辑符
<<=,102,运算与逻辑符
^,81,运算与逻辑符
),82,界符
|=,83,界符
? :,84,界符
],85,界符
(,86,界符
{,87,界符
;,88,界符
},89,界符
/=,90,界符
[,91,界符
*=,92,界符
%=,93,界符
&=,94,界符
",",95,界符
$,101,界符
整数,96,数值符号
小数,97,数值符号
二进制数,98,数值符号
指数,99,数值符号
进制数,100,数值符号
